project_id,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence
The Big -P.01-UP-20-April-26,Variation instruction and changed scope procedure,Clause 13.1 / 13.3 / Clause 20.1,"Changes require instruction/approval and timely proposal or claim procedure. A variation can support time and money only when scope change, instruction, and impact are recorded.","Backfilling, revised drawings, omitted/added works, access changes, and authority-driven changes should be routed through the variation register and monthly claim account.",Shared,Give notice/proposal promptly and repeat open variation in monthly account.,"Preserves valuation of extra work, changed quantities, preliminaries, and prolongation where applicable.",Preserves EOT if the variation affects critical path or consumes float.,Instruction; drawing revision; VO register; quotation; cost build-up; BOQ comparison; programme impact; site records; monthly account entry.
The Big -P.01-UP-20-April-26,"Discrepancies, ambiguities and document priority",Clause 1.5 / 1.8,Contract documents must be read together and priority rules govern conflicts. Ambiguities must be notified and clarified.,"Use this for drawing/specification conflicts, inconsistent BOQ/drawing scope, and IFC/RFI issues. The claim needs a clear ambiguity, timely notice, and reliance/impact proof.",Shared,Notify ambiguity/discrepancy immediately and request instruction before affected work proceeds where practical.,Potential variation/payment only if clarification changes scope or causes extra cost outside existing obligation.,Potential EOT if clarification delay or changed requirement affects critical path.,Conflicting documents; priority analysis; RFI; Engineer instruction; revised drawing; impact register; affected quantities; schedule fragment.
The Big -P.01-UP-20-April-26,"Site access, possession and workfront availability",Clause 2.1 / Clause 4.6 / Clause 20.1,"Employer or third-party access constraints can be compensable/excusable only when the Contractor proves the workfront was required, ready, and unavailable.",Access claims fail when Contractor had other available workfaces or predecessor constraints. Link the obstruction to the activity logic and critical path.,Shared,"Notify access obstruction immediately with location, activity, required date, and photos.",Potential prolongation/disruption if Employer-risk and not concurrent.,Potential EOT if blocked access delays critical/near-critical work.,Handover records; access permits; photos; daily reports; affected activity IDs; alternate workfront analysis; correspondence; TIA fragment.
The Big -P.01-UP-20-April-26,"Permits, authorities, utilities and dewatering exclusions",Clause 2.2 / Clause 4.19 / Appendix exclusions,"Some permits, utilities relocation/protection, dewatering, and Employer/Engineer site mobilization items are excluded or Employer-linked depending on facts and instructions.","Use this when delay is caused by authority, utility, dewatering, or excluded employer obligation. Must distinguish excluded scope from Contractor coordination obligations.",Contractor if exclusion/instruction is clear; Employer if coordination was Contractor obligation.,Notify as soon as authority/utility/dewatering issue affects work and request instruction.,Potential additional payment if excluded from contract amount or instructed as extra.,Potential EOT if critical path affected and not Contractor-caused.,Permit correspondence; authority letters; utility drawings; site photos; instructions; cost records; programme impact; mitigation log.
The Big -P.01-UP-20-April-26,Measurement and re-measured quantities,Clause 12 / Agreement / Appendix,"The contract is re-measured and payment follows actual executed quantities, but BOQ quantity differences alone do not automatically create a claim.","Quantity growth becomes a time/money claim only if it is outside normal remeasurement, instructed as change, or affects critical path beyond tender risk.",Shared,Notify material quantity/time impact when the issue exceeds normal measurement administration.,Payment follows measured work; extra entitlement needs measurement records and clause basis.,Possible EOT only if quantity growth delays critical path and is not Contractor risk.,Survey sheets; IR approvals; quantity take-off; BOQ comparison; drawings; measurement sheets; progress records; schedule impact.
The Big -P.01-UP-20-April-26,"Fixed price, no BOQ warranty and escalation limits",Agreement / Appendix / price adjustment provisions,"The accepted amount is fixed/final and the Employer gives no BOQ quantity warranty, except specific concrete/steel adjustment mechanisms.",This is an Employer defence against general escalation and quantity surprise claims. Keep steel/concrete price adjustment separate from delay/EOT entitlement.,Employer,Use the allowed price-adjustment procedure and claim notices where delay/responsibility is involved.,Blocks broad inflation claims; may allow concrete/steel CAPMAS adjustment if conditions are met.,No direct EOT from price movement; only linked delay events matter.,CAPMAS indices; baseline prices; procurement dates; delay responsibility; BOQ/drawing comparison; notice; calculation workbook.
The Big -P.01-UP-20-April-26,Rate of progress and recovery plan,Clause 8.6 / General Requirements,"If progress is too slow, the Contractor may need to revise methods, add resources, or submit recovery plans.","Employer may use this against EOT if delay is caused by poor productivity, lack of resources, or failure to mitigate. Contractor should separate Employer-risk events from own recovery obligations.",Employer unless Contractor shows external critical delay and reasonable mitigation.,Recovery notices and revised programmes should be answered with cause analysis and reservation of rights.,Acceleration/recovery at Contractor cost if Contractor-caused; potential cost claim only if instructed acceleration after Employer delay.,Recovery plan affects forecast completion and mitigation narrative.,Progress S-curves; manpower/equipment histograms; recovery programme; cause coding; mitigation records; correspondence reserving rights.
The Big -P.01-UP-20-April-26,Delay damages and milestone exposure,Appendix / Clause 8.2 / Clause 8.7 / 8-month structural milestone,Completion dates and milestones create delay-damages exposure unless EOT is granted for qualifying delays.,Use this to quantify management risk: EOT is both entitlement and defence against delay damages. Milestone delay needs separate activity-to-milestone traceability.,Employer if no EOT; Contractor if EOT proof is strong.,EOT notices must be submitted before/when milestone exposure becomes apparent.,Delay damages exposure and prolongation-cost defence are central commercial issues.,Critical milestone and completion-date impact must be shown by TIA and updated programme.,Milestone register; delay damages clause; critical path to milestone; EOT notices; impacted update; recovery and mitigation records.
The Big -P.01-UP-20-April-26,Suspension by Employer or non-payment response,Clause 8.11 / Clause 16 / payment provisions,Suspension or reduced progress rights are clause-sensitive and require strict notice and procedural compliance.,"Do not treat cash-flow stress as automatic delay entitlement. If suspension/non-payment route is used, prove contractual trigger, notice, waiting period, and actual critical impact.",Employer unless Contractor strictly follows procedure.,Formal notice before suspension/slowdown and continued updates after impact.,Potential cost/time if valid suspension; high rejection risk if procedure missed.,Potential EOT only for properly invoked suspension or proven critical resource impact.,Payment due notices; unpaid certificates; suspension notices; resource records; productivity records; programme impact; mitigation alternatives.
The Big -P.01-UP-20-April-26,Force majeure / exceptional events,Clause 19.1 / 19.4,Force majeure applies only to exceptional events meeting the contract definition and procedural notice requirements.,"Not a default route for ordinary supply, payment, design, or coordination delays. Use only where event is external, unavoidable, and contractually qualifying.",Shared depending on event proof,Strict notice and mitigation records required.,Usually limited; depends on contract wording.,Possible EOT for qualifying event if critical path impacted.,Event proof; authority notices; contemporaneous records; mitigation log; schedule impact; notices.
The Big -P.01-UP-20-April-26,"Taking-over, testing and completion prerequisites",Clauses 9 / 10 / General Requirements,"Testing, completion documents, and taking-over requirements can affect completion and handover entitlement.",Late approvals or failed tests can be Employer or Contractor risk depending on cause. Separate defect/rework from delayed Employer/Engineer action.,Shared,"Notify delayed tests, inspections, or taking-over blockers promptly.",Potential prolongation or withheld payment depending on cause.,Can affect completion milestone if on critical handover path.,Inspection requests; test records; NCRs; completion checklist; as-built/submittal status; handover correspondence; programme impact.
The Big -P.01-UP-20-April-26,"Shop drawings, as-builts, Revit and CAD deliverables",Clause 4.25 / General Requirements,"The Contractor must submit required shop drawings, as-builts, Revit/CAD source files, and technical documents in the required format and time.",This is both a Contractor obligation and a delay defence. Employer may reject delay if Contractor documents were late/incomplete; Contractor may claim if Engineer response or revised requirement delayed approved documents.,Shared,Submit early; notify delayed review or changed requirement when it affects activities.,Potential cost only for changed requirements or delayed Employer/Engineer response.,Submittal approval delay can affect procurement/construction logic.,Submittal schedule; transmittals; review cycles; comments; revisions; approval dates; linked activities; delay notices.
The Big -P.01-UP-20-April-26,Contractor general obligations and mitigation,Clause 4.1 / Clause 4.6 / Clause 8.6 / Clause 20.1,"The Contractor remains responsible for planning, coordination, resources, mitigation, and cooperation even when Employer-risk events occur.","Employer rebuttal usually alleges lack of readiness, poor sequencing, insufficient resources, late submittals, or failure to mitigate. Delay TIA must answer those points.",Employer unless Contractor readiness and mitigation are documented.,Reservation-of-rights notices should include mitigation steps and remaining blockers.,Weak mitigation reduces recoverable cost.,Weak mitigation can reduce or defeat EOT.,Readiness checklist; resource logs; alternate workfront analysis; mitigation plan; daily reports; correspondence; progress updates.
The Big -P.01-UP-20-April-26,Engineer authority and determinations,Clauses 3.1 / 3.5 / 20.2,"Engineer instructions, determinations, and responses form the administrative route before disputes.",Requests should ask for clear instruction/determination and reserve rights. Silence or delayed determination should be recorded and escalated.,Shared,Refer claims and disputed determinations through required contractual steps.,"Determinations affect valuation, payment, and claim entitlement.",Determinations affect accepted EOT and recovery obligations.,Engineer instructions; determinations; submissions; meeting minutes; claim particulars; response deadlines; escalation letters.
The Big -P.01-UP-20-April-26,Dispute route and no DAB,Clauses 20.2 to 20.8 / Particular Conditions,Disputes follow the contract?s determination and court route where no DAB process applies.,"Keep the claim file litigation-ready: facts, notices, causation, programme analysis, quantum, and correspondence must be self-contained.",Neutral,Do not skip required Engineer determination/claim procedure before dispute escalation.,Affects recoverability and dispute strategy.,Affects formal EOT recognition and delay damages defence.,Claim dossier; evidence index; chronology; clause matrix; TIA report; quantum file; meeting minutes; formal determinations.
The Big -P.01-UP-20-April-26,Contract basics,Agreement / Contract Data,"Project is the Big Project civil works between Roya as Employer and Samco as Contractor, effective 30-Apr-2025.","All later letters should be read against this baseline: parties, project, price, time, and risk allocation are fixed from this date.",Neutral,Use exact contract references in all notices.,Defines the starting commercial baseline.,Defines the baseline programme period.,"Keep contract date, parties, amount, and commencement records in every claim file."
The Big -P.01-UP-20-April-26,Accepted Contract Amount,Agreement / Appendix,"Contract amount is EGP 367,286,025 including social insurance, duties, and taxes except VAT.",The price is intended to be comprehensive. The Contractor must prove why any extra is outside the agreed scope or qualifies under variation/adjustment clauses.,Employer,Any extra must follow Variation or Claim procedure.,High barrier to extra payment unless clear instruction/change exists.,No direct time right unless linked to variation or delay event.,"For each extra cost, attach instruction, BOQ gap analysis, and timely notice."
The Big -P.01-UP-20-April-26,Re-measured contract,Agreement / Appendix,Contract is on a re-measured basis and payment is based on actual executed quantities.,"Quantities can increase or decrease, but rates and risk wording still matter. More quantity is not automatically a new scope claim.",Shared,Measurement records must be timely and supported.,"Payment follows measured work, not tender BOQ quantity warranty.",Quantity change may affect time only if it impacts critical path and is claimed.,"Keep survey sheets, IR approvals, measurement sheets, and BOQ mapping."
The Big -P.01-UP-20-April-26,BOQ quantity no warranty,Agreement,Employer gives no warranty that BOQ quantities are accurate.,"The Contractor cannot rely only on tender quantities to claim surprise. The claim must be tied to changed scope, instruction, or unforeseeable condition.",Employer,Claim notice still required if quantity change delays or costs more than normal remeasurement.,Limits quantity-based claims.,Possible only if actual quantity change affects critical path and is properly proved.,"Compare tender BOQ, IFC drawings, actual measurements, and programme impact."
The Big -P.01-UP-20-April-26,Fixed and final price wording,Appendix,"Accepted amount is fixed and final, inclusive of compensation, contingencies, future law, fuel, and currency changes except specified material adjustment.",This is a strong anti-claim clause. Most market escalation arguments are blocked unless they fit the concrete/steel adjustment formula.,Employer,Use price adjustment clause only where allowed.,Reduces escalation and hardship claims.,No direct EOT from price movement.,Separate allowed concrete/steel adjustment from general inflation claims.
The Big -P.01-UP-20-April-26,Concrete and steel price adjustment,Appendix,Concrete and steel may be adjusted using CAPMAS indices if delay is not due to Contractor.,"Price adjustment is conditional. If Employer/Engineer says the Contractor caused the delay, the adjustment may be rejected.",Shared,Need proof delay was not Contractor-caused.,Potential recovery for concrete/steel escalation only.,Depends on non-contractor delay period and affected procurement.,"Prepare CAPMAS index comparison, baseline prices, procurement dates, and delay responsibility analysis."
The Big -P.01-UP-20-April-26,Exclusions from contract amount,Appendix,"Employer/Engineer site mobilization, authority permits/licenses, relocation/protection of utilities, and dewatering are excluded.","These are possible entitlement areas, but only if actually instructed or required and not already covered elsewhere.",Contractor if documented,Variation/claim notice required before or immediately after impact.,Potential additional payment if outside scope and instructed/required.,Potential EOT if critical and not Contractor fault.,"Record instruction, site condition, authority requirement, photographs, and cost/time impact."
The Big -P.01-UP-20-April-26,Advance payment structure,Appendix / Clause 14.2,Advance payment is 25 percent; 30 percent cash against bank check and 70 percent as steel supplied by Employer according to approved programme.,Steel supply is commercially tied to the advance. But entitlement depends on approved programme and proper requisitions.,Shared,Steel delay notices should be immediate and linked to approved programme dates.,Employer-supplied steel affects advance/payment accounting.,Late steel may support delay only if critical and properly requested.,"Keep approved programme, steel requisitions, delivery notes, and impact analysis."
The Big -P.01-UP-20-April-26,Minimum IPC threshold,Appendix,Minimum IPC amount is 70 percent of monthly cash flow.,Small or weak IPCs can be administratively rejected or deferred. Payment entitlement is linked to monthly cash flow planning.,Employer,Monthly IPC must meet threshold and be complete.,Can delay cash collection if IPC below threshold.,Indirect cash-flow pressure; not itself an EOT event.,Align monthly valuation with approved cash flow and explain any shortfall.
The Big -P.01-UP-20-April-26,Payment period,Clause 14.7,Employer pays amounts due within 45 days after Engineer receives a complete statement and supporting documents.,"The 45 days likely starts only after a compliant submission, not after an incomplete invoice.",Employer until submission complete,Late payment arguments need proof of complete submission date.,Interest or delayed payment arguments depend on compliance.,Suspension rights require strict clause compliance.,"Keep transmittal, Engineer receipt date, checklist of supporting documents, and payment certificate."
The Big -P.01-UP-20-April-26,Social insurance condition,Agreement / Payment terms,Proof of social insurance payment is required before subsequent IPC release.,Even technically valid work may be held up if social insurance evidence is missing.,Employer,Submit before each affected IPC cycle.,Payment can be delayed despite completed work.,Indirect cash flow risk only.,"Keep receipts, certificates, and IPC checklist."
The Big -P.01-UP-20-April-26,Retention,Appendix / Clause 14,Retention is 5 percent; first half released at Taking-Over Certificate and second half after Defects Notification Period.,"Cash is locked until formal completion milestones, not just physical progress.",Employer,Taking-over and defect records must be clean.,Cash retention affects final recovery.,Open defects delay release.,"Track TOC requirements, snag/NCR closure, and DNP expiry."
The Big -P.01-UP-20-April-26,Performance security,Appendix / Clause 4.2,Performance security is 5 percent of Accepted Contract Amount.,"Security gives Employer leverage if termination, default, or recovery of damages becomes serious.",Employer,Maintain valid security until required release.,Potential call/deduction risk.,"No direct schedule effect, but default pressure is high.","Track validity, expiry, amendments, and Employer notices."
The Big -P.01-UP-20-April-26,Time for Completion,Appendix / Clause 8.2,Time for Completion is 19 months from Commencement Date.,All delay analysis should measure impact against this contractual completion window.,Employer unless EOT proved,EOT claim required for any excusable delay.,Delay damages risk after expiry without EOT.,Critical path must be shown against 19-month baseline.,Maintain approved baseline programme and monthly updates.
The Big -P.01-UP-20-April-26,8-month structural milestone,Appendix,Ground floor ceiling slab completion is required within 8 months from Commencement and is not a Taking-Over section.,This is a milestone obligation but does not give partial taking-over protection. Delay can still be used as performance evidence.,Employer,Notify delay to milestone if affected.,Potential damages/pressure depending on contract use.,High control milestone for early works.,"Track milestone logic, progress photos, inspections, and causes of delay."
The Big -P.01-UP-20-April-26,Delay damages,Appendix / Clause 8.7,"Delay damages are 1 percent of outstanding works per week or part week, capped at 10 percent of Contract Price.",Even part of a week counts. Employer can use this as strong pressure once completion is late without EOT.,Employer,EOT must be claimed before delay damages crystallize.,"High exposure, capped at 10 percent.",Critical if no approved EOT.,Update EOT register and forecast exposure weekly.
The Big -P.01-UP-20-April-26,Normal working hours,Appendix / Clause 6.5,Normal hours are 6 days per week and 8 hours per day.,Acceleration beyond normal hours may not be paid unless instructed or caused by an Employer-risk event and properly claimed.,Employer,Acceleration claim needs instruction or recoverable delay event.,Overtime often Contractor cost unless entitlement proved.,Recovery plans may require more resources without extra payment if Contractor delay.,"Record instructions, productivity assumptions, manpower, and cause of acceleration."
The Big -P.01-UP-20-April-26,Document priority,Clause 1.5,Contract documents are prioritized by the Agreement sequence.,"If two documents conflict, priority decides. But the Contractor must still flag conflicts before execution.",Shared,Notify ambiguity before starting affected work.,May block extra payment if Contractor proceeds silently.,May block EOT if late clarification caused by Contractor silence.,Maintain discrepancy notices and Engineer responses.
The Big -P.01-UP-20-April-26,More stringent requirement governs,Clause 1.5,"If Employer considers a more stringent requirement applicable, Contractor must comply.","The stricter interpretation can be imposed first, with entitlement only if Contractor preserves claim rights.",Employer,Notify and claim if stricter requirement changes cost/time.,Potential extra cost only if valid variation/claim survives.,Potential delay only if critical and noticed.,"Issue reservation letter before execution, then submit variation proposal."
The Big -P.01-UP-20-April-26,Missing or blank BOQ items,Clause 1.5,"Missing, unpriced, or blank BOQ items are deemed included in other BOQ rates/prices.","A BOQ silence is not enough to claim extra. Contractor must show the work is truly outside the Contract, not just missing from a rate.",Employer,Variation notice required for true extra scope.,Strongly limits payment for omitted rate items.,No direct EOT unless scope/instruction affects critical path.,Map work to drawings/specs and explain why it is not implied or included.
The Big -P.01-UP-20-April-26,Works shown in any document,Clause 1.5,Work shown in any contract document but not another is deemed included in Accepted Contract Amount.,One drawing/specification reference can be enough to make the work included.,Employer,Raise discrepancy before execution.,Extra payment difficult if item appears anywhere in contract docs.,EOT difficult unless delayed instruction/change occurs.,Search all contract documents before asserting missing scope.
The Big -P.01-UP-20-April-26,Necessary and implied works,Clause 1.5,"Works necessary for stability, completion, safe operation, or proper execution are included even if not expressly detailed.","The contract captures hidden enabling works. Many support, temporary, coordination, and completion items may be treated as included.",Employer,Claim only if beyond normal implied works and instructed/changed.,Limits extras for temporary or enabling items.,May create sequencing burden on Contractor.,"Record why the work is unusual, instructed, or outside normal construction practice."
The Big -P.01-UP-20-April-26,Discrepancies and ambiguities,Clause 1.5 / 1.8,"Contractor must notify Engineer of ambiguity, discrepancy, or error before starting affected work.","If Contractor builds first and argues later, entitlement becomes weak.",Employer,Notify before work starts.,Late notice can defeat additional cost.,Late notice can defeat delay claim.,Send technical query/RFI with proposed interpretation and reservation of rights.
The Big -P.01-UP-20-April-26,Contractor documents timing,Clause 1.8,Submittals are due 14 days before construction activity; Engineer review is 10 days; resubmission is 3 days.,The programme must include approval cycles. Late submittals become Contractor delay even if Engineer takes normal review time.,Employer,Late submittal notices weaken claims.,Rework/resubmission cost likely Contractor risk.,Approval delay only claimable beyond contractual review if critical.,Maintain submittal register tied to programme activities.
The Big -P.01-UP-20-April-26,Delayed drawings or instructions,Clause 1.9,Delay from late drawings/instructions must be claimed under the notice procedure.,"The event may be Employer-risk, but it is not automatically payable or excusable unless notice and particulars are on time.",Shared,"Strict notice required, then particulars and monthly updates.",Potential cost/time only if claim compliant.,Potential EOT if critical path delayed.,"Keep request dates, required-by dates, late response proof, and critical path analysis."
The Big -P.01-UP-20-April-26,Site access,Clause 2.1,Employer gives site access under contract conditions.,"Access is entitlement-sensitive: if the Contractor cannot work because access is not given, it can be strong, but only with proof of readiness and criticality.",Contractor if ready,Immediate notice if access not available.,Possible cost if proven and not excluded.,Possible EOT if critical access denied.,"Keep handover records, photographs, readiness evidence, and programme logic."
The Big -P.01-UP-20-April-26,Permits and licenses,Clause 2.2 / Appendix exclusions,"Authority permits/licenses are excluded from Accepted Contract Amount, but responsibilities depend on the specific permit and law.","This is a possible variation/claim zone, but not a blanket excuse for slow authority processing.",Shared,Notify authority delay and cost as soon as known.,Recoverable if Employer-risk or excluded cost instructed/required.,Possible EOT if authority issue blocks critical work and Contractor acted diligently.,"Keep applications, authority receipts, correspondence, and delay chronology."
The Big -P.01-UP-20-April-26,Engineer authority and determination,Clauses 3.1 / 3.5,Engineer administers instructions and determinations under the Contract.,Engineer decisions are central evidence. Silence or informal site discussion is weaker than written instruction/determination.,Employer/Engineer,Ask for written instruction/determination where impact exists.,Payment depends on formal valuation/determination.,Delay depends on accepted programme impact.,Convert verbal directions into written confirmation immediately.
The Big -P.01-UP-20-April-26,Contractor general obligations,Clause 4.1,"Contractor must execute, complete, and remedy defects in accordance with the Contract and good practice.","Broad duty means Contractor carries coordination, means, methods, and completion risk unless a clause shifts it.",Employer,Notify only where Employer-risk event prevents performance.,Defects/rework usually Contractor cost.,Contractor-caused delay not excusable.,"Keep method statements, approvals, inspection records, and defect closure evidence."
The Big -P.01-UP-20-April-26,Design verification and review,Clause 4.1 / General Requirements,Contractor must verify and review design documents as required by the Contract.,Failure to review early can make later design objections look like Contractor delay or late discovery.,Employer,Raise design issues promptly and before affected works.,Late design comments may not justify extra cost.,Late review can delay shop drawings/procurement.,"Maintain design review log, consultant reports, RFIs, and dates."
The Big -P.01-UP-20-April-26,Cooperation with others,Clause 4.6 / 20.1,Contractor must cooperate with other contractors and anticipate simultaneous work.,"Minor disruption, sequencing changes, and interface inconvenience may already be priced and programmed.",Employer,"Only substantial, critical, Employer-caused interference should be claimed.",Minor interface cost likely unrecoverable.,Minor resequencing likely no EOT.,"Keep interface meeting minutes, obstruction logs, photos, and critical path proof."
